ccy,month,freq,hour_ny,coverage,stale,n_expected,n_present
EUR,2009-11,1m,,0.9358837505595538,0.044777217704845655,29041.0,27179.0
EUR,2009-11,1m,0.0,1.0,0.031746031746031744,,
EUR,2009-11,1m,1.0,0.9992063492063492,0.03653693407466243,,
EUR,2009-11,1m,2.0,0.9761904761904762,0.032520325203252036,,
EUR,2009-11,1m,3.0,0.9968253968253968,0.024681528662420384,,
EUR,2009-11,1m,4.0,1.0,0.027777777777777776,,
EUR,2009-11,1m,5.0,0.9928571428571429,0.01838529176658673,,
EUR,2009-11,1m,6.0,1.0,0.01904761904761905,,
EUR,2009-11,1m,7.0,1.0,0.027777777777777776,,
EUR,2009-11,1m,8.0,0.9873015873015873,0.0409967845659164,,
EUR,2009-11,1m,9.0,0.9825396825396825,0.03796445880452343,,
EUR,2009-11,1m,10.0,0.9761904761904762,0.06585365853658537,,
EUR,2009-11,1m,11.0,0.7841269841269841,0.09008097165991903,,
EUR,2009-11,1m,12.0,0.703968253968254,0.10710259301014656,,
EUR,2009-11,1m,13.0,0.7611111111111111,0.08342022940563086,,
EUR,2009-11,1m,14.0,0.8071428571428572,0.051130776794493606,,
EUR,2009-11,1m,15.0,0.8031746031746032,0.05533596837944664,,
EUR,2009-11,1m,16.0,0.7952380952380952,0.05888223552894212,,
EUR,2009-11,1m,18.0,0.9787878787878788,0.06191950464396285,,
EUR,2009-11,1m,19.0,0.979381443298969,0.06315789473684211,,
EUR,2009-11,1m,20.0,0.9992063492063492,0.05321683876092136,,
EUR,2009-11,1m,21.0,1.0,0.023809523809523808,,
EUR,2009-11,1m,22.0,1.0,0.020634920634920634,,
EUR,2009-11,1m,23.0,1.0,0.02619047619047619,,
EUR,2009-11,15m,,0.9519876097057305,0.00596529284164859,1937.0,1844.0
EUR,2009-11,15m,0.0,1.0,0.0,,
EUR,2009-11,15m,1.0,1.0,0.0,,
EUR,2009-11,15m,2.0,1.0,0.0,,
EUR,2009-11,15m,3.0,0.9880952380952381,0.0,,
EUR,2009-11,15m,4.0,1.0,0.0,,
EUR,2009-11,15m,5.0,1.0,0.011904761904761904,,
EUR,2009-11,15m,6.0,1.0,0.0,,
EUR,2009-11,15m,7.0,1.0,0.0,,
EUR,2009-11,15m,8.0,1.0,0.0,,
EUR,2009-11,15m,9.0,1.0,0.0,,
EUR,2009-11,15m,10.0,1.0,0.011904761904761904,,
EUR,2009-11,15m,11.0,0.8571428571428571,0.013888888888888888,,
EUR,2009-11,15m,12.0,0.8095238095238095,0.014705882352941176,,
EUR,2009-11,15m,13.0,0.8095238095238095,0.014705882352941176,,
EUR,2009-11,15m,14.0,0.8095238095238095,0.014705882352941176,,
EUR,2009-11,15m,15.0,0.8095238095238095,0.0,,
EUR,2009-11,15m,16.0,0.8095238095238095,0.0,,
EUR,2009-11,15m,18.0,1.0,0.0,,
EUR,2009-11,15m,19.0,1.0,0.011764705882352941,,
EUR,2009-11,15m,20.0,1.0,0.0,,
EUR,2009-11,15m,21.0,1.0,0.0,,
EUR,2009-11,15m,22.0,1.0,0.011904761904761904,,
EUR,2009-11,15m,23.0,1.0,0.0,,
EUR,2009-11,1h,,0.9587628865979382,0.0064516129032258064,485.0,465.0
EUR,2009-11,1h,0.0,1.0,0.0,,
EUR,2009-11,1h,1.0,1.0,0.0,,
EUR,2009-11,1h,2.0,1.0,0.0,,
EUR,2009-11,1h,3.0,1.0,0.0,,
EUR,2009-11,1h,4.0,1.0,0.0,,
EUR,2009-11,1h,5.0,1.0,0.0,,
EUR,2009-11,1h,6.0,1.0,0.0,,
EUR,2009-11,1h,7.0,1.0,0.0,,
